Alexandria,LA,71301,Sweet Scents N More,Alexandria,LA,71301,Sweet Scents N More,453220,1,1,Sweet Scents N More
Alexandria,LA,71301,Sweet Scents N More,Bossier City,LA,71111,Sweet Scents N More,453220,0,1,Sweet Scents N More
Yonkers,NY,10704,Clearwire,Dover,DE,19901,Clearwire,518210,0,0,Clearwire
Yonkers,NY,10704,Clearwire,Rochester,NY,14620,Clearwire,518210,0,1,Clearwire
Yonkers,NY,10704,Clearwire,Fort Smith,AR,72903,Clearwire,518210,0,0,Clearwire
Yonkers,NY,10704,Clearwire,Kirkland,WA,98033,Clearwire,518210,0,0,Clearwire
Yonkers,NY,10704,Clearwire,Durham,NC,27704,Clearwire,517110,0,0,Clearwire
Yonkers,NY,10704,Clearwire,Rockmart,GA,30153,Clearwire,517210,0,0,Clearwire
Yonkers,NY,10704,Clearwire,Seattle,WA,98125,Clearwire,518210,0,0,Clearwire
Yonkers,NY,10704,Clearwire,West Monroe,LA,71292,Clearwire,517210,0,0,Clearwire
San Diego,CA,92122,Tender Greens,San Diego,CA,92106,Tender Greens,722511,1,1,Tender Greens
San Diego,CA,92122,Tender Greens,Walnut Creek,CA,94596,Tender Greens,722511,0,1,Tender Greens
San Diego,CA,92122,Tender Greens,Los Angeles,CA,90028,Tender Greens,424490,0,1,Tender Greens
San Diego,CA,92122,Tender Greens,West Hollywood,CA,90069,Tender Greens,722511,0,1,Tender Greens
San Diego,CA,92122,Tender Greens,Culver City,CA,90232,Tender Greens,722511,0,1,Tender Greens
Redmond,WA,98052,Evergreen State Mortgage,Redmond,WA,98052,Evergreen State Mortgage,522292,1,1,Evergreen State Mortgage
Austin,TX,78757,Red Oak Ballroom,Austin,TX,78757,Red Oak Ballroom,812990,1,1,Red Oak Ballroom
Austin,TX,78757,Red Oak Ballroom,Fort Worth,TX,76102,Red Oak Ballroom,713990,0,1,Red Oak Ballroom
Altamonte Springs,FL,32701,Dazzling Gold & Silver,Altamonte Springs,FL,32701,Dazzling Gold & Silver,423940,1,1,Dazzling Gold  Silver
Saginaw,MI,48604,Media Replay,Flint,MI,48507,Media Replay,443142,0,1,Media Replay
Boynton Beach,FL,33426,Bijou Brigitte,Boynton Beach,FL,33426,Bijou Brigitte,448310,1,1,Bijou Brigitte
Nampa,ID,83651,Easy Money,Dublin,OH,43016,Easy Money,522390,0,0,Easy Money
Nampa,ID,83651,Easy Money,Metropolis,IL,62960,Easy Money,522291,0,0,Easy Money
Nampa,ID,83651,Easy Money,Oneonta,AL,35121,Easy Money,522390,0,0,Easy Money
Nampa,ID,83651,Easy Money,Poplar Bluff,MO,63901,Easy Money,522291,0,0,Easy Money
Memphis,TN,38117,Sweetness Sweets,Memphis,TN,38117,Sweetness Sweets,445292,1,1,Sweetness Sweets
Memphis,TN,38117,Sweetness Sweets,Monroe,LA,71203,Sweetness Sweets,445292,0,0,Sweetness Sweets
Memphis,TN,38117,Sweetness Sweets,Decatur,GA,30034,Sweetness Sweets,445292,0,0,Sweetness Sweets
Stockton,CA,95207,1st Impression,Santa Rosa,CA,95407,1st Impression,812112,0,1,1st Impression
Orlando,FL,32819,Hot Glass,Shell Lake,WI,54871,Hot Glass,444190,0,0,Hot Glass
Rapid City,SD,57701,Solar X,Houston,TX,77008,Solar X,811122,0,0,Solar X
Riverside,CA,92503,Ermc,Southaven,MS,38671,Ermc,561720,0,0,Ermc
Riverside,CA,92503,Ermc,Saint Augustine,FL,32092,Ermc,561720,0,0,Ermc
Riverside,CA,92503,Ermc,Waco,TX,76710,Ermc,561720,0,0,Ermc
Riverside,CA,92503,Ermc,Boise,ID,83704,Ermc,561720,0,0,Ermc
Riverside,CA,92503,Ermc,Overland Park,KS,66214,Ermc,561720,0,0,Ermc
Green Bay,WI,54302,Regis Corporation,Tampa,FL,33618,Regis Corporation,812112,0,0,Regis Corporation
Green Bay,WI,54302,Regis Corporation,Richmond,VA,23230,Regis Corporation,812112,0,0,Regis Corporation
Green Bay,WI,54302,Regis Corporation,Tucson,AZ,85704,Regis Corporation,812990,0,0,Regis Corporation
Green Bay,WI,54302,Regis Corporation,Selinsgrove,PA,17870,Regis Corporation,236115,0,0,Regis Corporation
Green Bay,WI,54302,Regis Corporation,Glendale,CA,91203,Regis Corporation,812112,0,0,Regis Corporation
Green Bay,WI,54302,Regis Corporation,Victor,NY,14564,Regis Corporation,812112,0,0,Regis Corporation
Green Bay,WI,54302,Regis Corporation,Mount Pleasant,MI,48858,Regis Corporation,812112,0,0,Regis Corporation
Green Bay,WI,54302,Regis Corporation,Merrimack,NH,03054,Regis Corporation,812112,0,0,Regis Corporation
Green Bay,WI,54302,Regis Corporation,Rochester,NY,14616,Regis Corporation,812112,0,0,Regis Corporation
Green Bay,WI,54302,Regis Corporation,Phillipsburg,NJ,08865,Regis Corporation,524210,0,0,Regis Corporation
National City,CA,91950,Potato Corner,Albuquerque,NM,87110,Potato Corner,722511,0,0,Potato Corner
National City,CA,91950,Potato Corner,Albuquerque,NM,87114,Potato Corner,445230,0,0,Potato Corner
National City,CA,91950,Potato Corner,Lubbock,TX,79414,Potato Corner,424480,0,0,Potato Corner
National City,CA,91950,Potato Corner,Riverside,CA,92503,Potato Corner,722511,0,1,Potato Corner
National City,CA,91950,Potato Corner,Las Vegas,NV,89107,Potato Corner,111211,0,0,Potato Corner
Kingston,MA,2364,Pyramid Management Group,Syracuse,NY,13202,Pyramid Management Group,561110,0,0,Pyramid Management Group
Kingston,MA,2364,Pyramid Management Group,Kingston,MA,02364,Pyramid Management Group,531210,1,1,Pyramid Management Group
Atlanta,GA,30363,Piedmont Physicians Group,Atlanta,GA,30341,Piedmont Physicians Group,621111,1,1,Piedmont Physicians Group
Atlanta,GA,30363,Piedmont Physicians Group,Jasper,GA,30143,Piedmont Physicians Group,621111,0,1,Piedmont Physicians Group
Atlanta,GA,30363,Piedmont Physicians Group,Atlanta,GA,30339,Piedmont Physicians Group,621111,1,1,Piedmont Physicians Group
